"";"TA";"doc";"url";"page";"term";"portfolio";"context"
"484";"HST13";"evaluation-consultation-document.pdf";"https://www.nice.org.uk/guidance/HST13/documents/evaluation-consultation-document#page=5";"5";"early access to medicines";"0";"              eligible for treatment with volanesorsen in the UK. 2.4           Treatment with volanesorsen has been provided since March 2018 under               an Early Access to Medicines Scheme at several specialist centres. The               company explained that 20 people are currently having volanesorsen               (with treatment duration ranging from 1 to 15 months). A further 5 people"
"483";"HST13";"evaluation-consultation-document.pdf";"https://www.nice.org.uk/guidance/HST13/documents/evaluation-consultation-document#page=9";"9";"early access";"0";"                  patient numbers have been deemed to be academic in confidence by                   the company, so cannot be presented.               • The Early Access to Medicines Scheme (EAMS) (n=20) – an ongoing                   programme that provides access to volanesorsen (administered by                   subcutaneous injection, 285 mg biweekly) for people with FCS,"
"485";"HST13";"evaluation-consultation-document.pdf";"https://www.nice.org.uk/guidance/HST13/documents/evaluation-consultation-document#page=9";"9";"early access to medicines";"0";"                  patient numbers have been deemed to be academic in confidence by                   the company, so cannot be presented.               • The Early Access to Medicines Scheme (EAMS) (n=20) – an ongoing                   programme that provides access to volanesorsen (administered by                   subcutaneous injection, 285 mg biweekly) for people with FCS,"
"486";"HST13";"final-evaluation-determination-document.pdf";"https://www.nice.org.uk/guidance/HST13/documents/final-evaluation-determination-document#page=3";"3";"early access";"0";"              eligible for treatment with volanesorsen in the UK. 2.4           Treatment with volanesorsen has been provided since March 2018 under               an Early Access to Medicines Scheme at several specialist centres. The               company explained that, at the time of evaluation, 20 people were having               volanesorsen (with treatment duration ranging from 1 to 15 months). A"
"488";"HST13";"final-evaluation-determination-document.pdf";"https://www.nice.org.uk/guidance/HST13/documents/final-evaluation-determination-document#page=3";"3";"early access to medicines";"0";"              eligible for treatment with volanesorsen in the UK. 2.4           Treatment with volanesorsen has been provided since March 2018 under               an Early Access to Medicines Scheme at several specialist centres. The               company explained that, at the time of evaluation, 20 people were having               volanesorsen (with treatment duration ranging from 1 to 15 months). A"
"487";"HST13";"final-evaluation-determination-document.pdf";"https://www.nice.org.uk/guidance/HST13/documents/final-evaluation-determination-document#page=7";"7";"early access";"0";"                 patient numbers is considered academic in confidence by the company,                  so cannot be presented.               • The Early Access to Medicines Scheme (EAMS; n=20) – an ongoing                  programme that provides access to volanesorsen (administered by                  subcutaneous injection, 285 mg once every 2 weeks) for people with"
"489";"HST13";"final-evaluation-determination-document.pdf";"https://www.nice.org.uk/guidance/HST13/documents/final-evaluation-determination-document#page=7";"7";"early access to medicines";"0";"                 patient numbers is considered academic in confidence by the company,                  so cannot be presented.               • The Early Access to Medicines Scheme (EAMS; n=20) – an ongoing                  programme that provides access to volanesorsen (administered by                  subcutaneous injection, 285 mg once every 2 weeks) for people with"
"490";"HST2";"1. Pre-meeting briefing.pdf";"portfoliodocument";"7";"compassionate";"1";"               vial (excluding VAT). 2.2            Elosulfase alfa is currently available in England through a                compassionate use programme provided by the company, for                people who have participated in clinical trials. The company states                that 35 people in England are having treatment with elosulfase alfa"
"491";"HST2";"2a. Manufacturer submission from BioMarin.pdf";"portfoliodocument";"22";"compassionate";"1";"3.2     If the technology has not been launched, please supply the anticipated         date of availability in the UK. Not applicable; elosulfase alfa is available in the UK on a compassionate use basis for previous study participants. 3.3     Does the technology have regulatory approval outside the UK? If so,"
"492";"HST2";"2a. Manufacturer submission from BioMarin.pdf";"portfoliodocument";"23";"compassionate";"1";"           on the use in England. Elosulfase alfa is currently being made available to MPS IVA patients in England via a compassionate use programme, underwritten by BioMarin. BioMarin is in ongoing discussions with NHS England and the Clinical Priorities Advisory Group (CPAG) about the possibility of NHS funding for this"
"493";"HST2";"2a. Manufacturer submission from BioMarin.pdf";"portfoliodocument";"23";"compassionate";"1";"the elosulfase alfa clinical programme. Hence, 42 MPS IVA patients in the UK from a total study population of 110 patients are being treated with elosulfase alfa on a compassionate use basis while reimbursement discussions are ongoing. In England, 35 MPS IVA patients from a total of 88 patients are receiving treatment on a compassionate use basis, with 74 of these patients"
"494";"HST2";"2a. Manufacturer submission from BioMarin.pdf";"portfoliodocument";"23";"compassionate";"1";"alfa on a compassionate use basis while reimbursement discussions are ongoing. In England, 35 MPS IVA patients from a total of 88 patients are receiving treatment on a compassionate use basis, with 74 of these patients clearly stating they would like to have access to ERT treatment on an ongoing basis."
"495";"HST2";"5a. Consultee Submission (Birmingham Children's Hospital).pdf";"portfoliodocument";"6";"compassionate";"1";"currently receiving Elosulfase Alfa provided by the sponsor of the clinical trials, after the conclusion of the clinical trials and licencing by the EMEA free-of cost, on a compassionate basis until a decision is made by NICE regarding the recommendation of funding of the treatment by NHS England. The cost of delivery of Elosulfase Alfa is currently being borne by the regional NHS"
"496";"HST2";"7a. Clinical expert personal perspective (Jenkinson).pdf";"portfoliodocument";"3";"compassionate";"1";"emergency situations. This technology is not available for use in clinical practice at this time. Currently it is only available to the trial patients on a compassionate use basis provided by the manufacturer. I am not aware of the development of any clinical guidelines for the use of Elosulfase"
"497";"HST2";"7b. Clinical expert personal perspective (Vijay).pdf";"portfoliodocument";"6";"compassionate";"1";"Many patients in England are currently receiving Elosulfase Alfa provided by the sponsor of the clinical trials, after the conclusion of the clinical trials and licencing by the EMEA free-of cost, on a compassionate basis until a decision is made by NICE regarding the recommendation of funding of the treatment by NHS England. The cost of delivery of Elosulfase Alfa is currently being borne by the regional NHS"
"498";"HST2";"7e. (i) Patient expert personal perspective (Lavery).pdf";"portfoliodocument";"14";"compassionate";"1";"We do not see any disadvantages to the treatment compared with disease progression and early death. A number of our members are still receiving ERT compassionately weekly at hospital however, this is not necessary and the ERT infusion should be taking place at home / school or work"
"499";"HST2";"8. Evidence Review Group report prepared by Southampton Health Technology Assessments Centre (SHTAC).pdf";"portfoliodocument";"13";"compassionate";"1";"Between July 2009 and April 2014, elosulfase alfa had Orphan Drug designation from the European Medicines Agency (EMA: EU/3/09/657). Elosulfase alfa is available in the UK on a compassionate use basis for patients who are in, or have previously participated in clinical studies. In the CS it is stated that 42 patients in the UK (35 in England, CS p. 23) are currently receiving elosulfase alfa on a compassionate use basis. It is not stated what dose of elosulfase"
"500";"HST2";"8. Evidence Review Group report prepared by Southampton Health Technology Assessments Centre (SHTAC).pdf";"portfoliodocument";"13";"compassionate";"1";"compassionate use basis for patients who are in, or have previously participated in clinical studies. In the CS it is stated that 42 patients in the UK (35 in England, CS p. 23) are currently receiving elosulfase alfa on a compassionate use basis. It is not stated what dose of elosulfase alfa is being used in these patients. Section 8 (CS p. 54 – 59) does not specify the recommended dose of elosulfase alfa. The"
"501";"HST2";"9. (ii) Evidence Review Group report – factual accuracy check and Erratum.pdf";"portfoliodocument";"4";"compassionate";"1";"April 2014. Between July 2009 and April 2014, elosulfase alfa had Orphan Drug designation from the European Medicines Agency (EMA: EU/3/09/657). Elosulfase alfa is available in the UK on a compassionate use basis for patients who are in, or have previously participated in clinical studies. In the CS it is stated that 42 patients in the UK (35 in England, CS p. 23) are currently receiving elosulfase alfa on a compassionate use basis. It is not stated what dose"
"502";"HST2";"9. (ii) Evidence Review Group report – factual accuracy check and Erratum.pdf";"portfoliodocument";"4";"compassionate";"1";"UK on a compassionate use basis for patients who are in, or have previously participated in clinical studies. In the CS it is stated that 42 patients in the UK (35 in England, CS p. 23) are currently receiving elosulfase alfa on a compassionate use basis. It is not stated what dose of elosulfase alfa is being used in these patients. Section 8 (CS p. 54 – 59) does not specify the recommended dose of elosulfase alfa. The"
"507";"HST2";"comments-form.pdf";"https://www.nice.org.uk/guidance/HST2/documents/comments-form#page=10";"10";"managed access";"0";"                           Much as we appreciate the developments in the Committee’s thinking,                            which have lead to these new preliminary recommendations and the                            introduction of the managed access agreement, we are extremely                            concerned that an extra two to three months has been added to this                            timescale. This additional delay extends this period of limbo, leaving us"
"508";"HST2";"comments-form.pdf";"https://www.nice.org.uk/guidance/HST2/documents/comments-form#page=10";"10";"managed access";"0";"                           Conclusion                            I believe that recommending elosulfase alfa for use in clinical practice for                            those affected with MPS IVA, subject to the managed access agreement is                            the right course of action for the Committee.                            I am concerned that the final decision has been delayed until January 2016"
"503";"HST2";"comments-form.pdf";"https://www.nice.org.uk/guidance/HST2/documents/comments-form#page=8";"8";"compassionate";"0";"                           The Committee will be aware that during the course of this evaluation, a                            number of patients had to stop their treatment with elosulfase alfa due to the                            suspension of the company’s compassionate use programme for a period of                            seven weeks. During this time, we were unfortunately in a position to                            observe the effect of the withdrawal of treatment on our two children. After"
"504";"HST2";"comments-form.pdf";"https://www.nice.org.uk/guidance/HST2/documents/comments-form#page=8";"8";"managed access";"0";"                           that the patient reported evidence is supported by clinical evidence from a                            wider pool of patients and so I therefore support the introduction of a                            managed access agreement.                            Managed Access Agreement                            I welcome the Committee’s acceptance in their conclusion (section 5.23)"
"505";"HST2";"comments-form.pdf";"https://www.nice.org.uk/guidance/HST2/documents/comments-form#page=8";"8";"managed access";"0";"                           wider pool of patients and so I therefore support the introduction of a                            managed access agreement.                            Managed Access Agreement                            I welcome the Committee’s acceptance in their conclusion (section 5.23)                            that “elosulfase alfa can provide valuable clinical benefits for some aspects"
"506";"HST2";"comments-form.pdf";"https://www.nice.org.uk/guidance/HST2/documents/comments-form#page=9";"9";"managed access";"0";"                           evidence that some patients did well on elosulfase alfa to justify further                            exploration of its costs and benefits in routine clinical practice”. I agree that                            the proposed managed access agreement to generate further evidence for                            the use of elosulfase alfa is an appropriate recommendation. This will                            provide a route to allow the outcomes for patients treated with this drug to"
"509";"HST2";"committee-papers-2.pdf";"portfoliodocument";"1";"managed access";"1";"                        NATIONAL INSTITUTE FOR HEALTH AND                                   CARE EXCELLENCE                           Managed Access Agreement                        Elosulfase alfa for treating               mucopolysaccharidosis type IVa"
"510";"HST2";"committee-papers-2.pdf";"portfoliodocument";"1";"managed access";"1";"                                             Professor Carole Longson / Sir Andrew Dillon National Institute for Health and Care Excellence                          Page 1 of 25 Managed Access Agreement – Elosulfase alfa Issue date: November 2015"
"532";"HST2";"committee-papers-2.pdf";"portfoliodocument";"10";"managed access";"1";"     titres National Institute for Health and Care Excellence                       Page 10 of 25 Managed Access Agreement – Elosulfase alfa Issue date: November 2015"
"533";"HST2";"committee-papers-2.pdf";"portfoliodocument";"11";"managed access";"1";"                 between the clinician and NHS England.   7              Ownership of the data   7.1            By agreeing to take part in the Managed Access Agreement                  patients will be asked to consent to have their demographic and                  clinical data collected by their treating clinician. The data will be"
"534";"HST2";"committee-papers-2.pdf";"portfoliodocument";"11";"managed access";"1";"                 responsible for the timely collection and analysis of the data and                  submitting the relevant reassessment report to NICE in the fourth                  year of this Managed Access Agreement.   7.2            The data will be collected by the clinicians at the expert centres                  who have undertaken the relevant training prescribed by NHS"
"535";"HST2";"committee-papers-2.pdf";"portfoliodocument";"11";"managed access";"1";"                 England. 8            Exit strategy   8.1            If at the end of the 5 year Managed Access Agreement: (i) NICE                  does not recommend elosulfase alfa for NHS funding, NHS                  England funding for elosulfase alfa will cease to be available for all"
"536";"HST2";"committee-papers-2.pdf";"portfoliodocument";"11";"managed access";"1";"                 patients and treatment will cease (in which case cessation shall be   National Institute for Health and Care Excellence                   Page 11 of 25   Managed Access Agreement – Elosulfase alfa   Issue date: November 2015"
"537";"HST2";"committee-papers-2.pdf";"portfoliodocument";"12";"managed access";"1";"                 terms in relation to such funding between NHS England and the                  MAH.   8.2            The cessation of funding under this Managed Access Agreement                  and the conditionality of further funding as specified in clause 8.1                  above apply notwithstanding any desire which patients and their"
"538";"HST2";"committee-papers-2.pdf";"portfoliodocument";"12";"managed access";"1";"                 alfa.     NHS England and the MAH shall use their reasonable                  endeavours to ensure that any patient being treated with elosulfase                  alfa which is funded by NHS England under this Managed Access                  Agreement is made aware of these funding limitations and accepts                  them when they sign the Patient Agreement on the terms set out in"
"539";"HST2";"committee-papers-2.pdf";"portfoliodocument";"12";"managed access";"1";"                 information. It would be expected that more knowledge will be                  gained over the next few years; hence a reassessment of the                  criteria by all signatories to this Managed Access Agreement will be                  reassessed three years from the start of this Managed Access                  Agreement and adjusted accordingly. NHS England shall conduct"
"540";"HST2";"committee-papers-2.pdf";"portfoliodocument";"12";"managed access";"1";"                 gained over the next few years; hence a reassessment of the                  criteria by all signatories to this Managed Access Agreement will be                  reassessed three years from the start of this Managed Access                  Agreement and adjusted accordingly. NHS England shall conduct                  an interim review at the end of the second year, and the other"
"541";"HST2";"committee-papers-2.pdf";"portfoliodocument";"12";"managed access";"1";"                 Unit, clinical experts and patient organisation representatives will   National Institute for Health and Care Excellence                  Page 12 of 25   Managed Access Agreement – Elosulfase alfa   Issue date: November 2015"
"542";"HST2";"committee-papers-2.pdf";"portfoliodocument";"13";"managed access";"1";"         arrangements with NHS England to respond to the NICE committee’s          concerns.         These arrangements set out in the ancillary agreement          apply for the duration of the Managed Access Agreement. 11.        Counterparts   11.1      This Agreement may be executed in any number of counterparts,"
"543";"HST2";"committee-papers-2.pdf";"portfoliodocument";"13";"managed access";"1";"            delivered at least one counterpart. National Institute for Health and Care Excellence                  Page 13 of 25 Managed Access Agreement – Elosulfase alfa Issue date: November 2015"
"544";"HST2";"committee-papers-2.pdf";"portfoliodocument";"14";"managed access";"1";"                                           Appendix A  Enzyme Replacement Therapy (ERT) Elosulfase alfa (Vimizim) for Mucopolysaccharidosis Type IVA Managed Access Patient                                            Agreement NICE have approved reimbursement of Elosulfase Alfa, licensed as Vimizim®,"
"545";"HST2";"committee-papers-2.pdf";"portfoliodocument";"14";"managed access";"1";"NICE have approved reimbursement of Elosulfase Alfa, licensed as Vimizim®, subject to the collection of auditable measures that will be used to assess the compliance of a Managed Access Agreement in England and to ensure that all relevant stakeholders have a common understanding that such measures have the agreement and backing of all involved and will therefore be enforced."
"546";"HST2";"committee-papers-2.pdf";"portfoliodocument";"14";"managed access";"1";"all relevant stakeholders have a common understanding that such measures have the agreement and backing of all involved and will therefore be enforced. The NICE Managed Access Agreement includes:-     <U+F0B7> A protocol that sets out the clinical criteria for starting and stopping          treatment with elosulfase alfa."
"547";"HST2";"committee-papers-2.pdf";"portfoliodocument";"14";"managed access";"1";"                    criteria: National Institute for Health and Care Excellence                  Page 14 of 25 Managed Access Agreement – Elosulfase alfa Issue date: November 2015"
"548";"HST2";"committee-papers-2.pdf";"portfoliodocument";"15";"managed access";"1";"               <U+F0B7> All patients are required to attend their clinics three times a year                     for assessment within a 14 month period.                <U+F0B7> All patients will sign up to this ‘Managed Access Patient                     Agreement’.     2. Access to treatment and data collection"
"549";"HST2";"committee-papers-2.pdf";"portfoliodocument";"15";"managed access";"1";"                    Agreement’.     2. Access to treatment and data collection     The criteria in this Managed Access Patient Agreement have been used     because they formed part of the phase III clinical trial and have been the     basis on which the European licence for Vimizim was granted."
"550";"HST2";"committee-papers-2.pdf";"portfoliodocument";"15";"managed access";"1";"         <U+F0B7>     Patients / Parents will be informed about the strict requirement for                attendance as set out in this patient agreement document, an                appendix to the Managed Access Agreement. National Institute for Health and Care Excellence                    Page 15 of 25 Managed Access Agreement – Elosulfase alfa"
"551";"HST2";"committee-papers-2.pdf";"portfoliodocument";"15";"managed access";"1";"               appendix to the Managed Access Agreement. National Institute for Health and Care Excellence                    Page 15 of 25 Managed Access Agreement – Elosulfase alfa Issue date: November 2015"
"552";"HST2";"committee-papers-2.pdf";"portfoliodocument";"16";"managed access";"1";"elosulfase alfa your clinician will be monitoring you or your child for demonstrable benefit, outlined in Appendix B attached. The Managed Access Agreement (and therefore agreed funding for elosulfase alfa) expires 5 years after NICE’s recommendations being published in 2016, or following a further review should this be sooner. At year four a"
"553";"HST2";"committee-papers-2.pdf";"portfoliodocument";"16";"managed access";"1";"elosulfase alfa. Accordingly, there are currently no arrangements to enable access to Elosulphase alpha to be available as part of standard NHS care following the expiry of the managed access agreement. Any continued access to Elosulphase alpha beyond this point will be subject to consideration by NICE and publication of further recommendations. If NICE does not"
"554";"HST2";"committee-papers-2.pdf";"portfoliodocument";"16";"managed access";"1";"recommend Elosulphase Alpha in its further review at that time patients will discontinue NHS treatment with Elosulphase Alpha. You or the parents of the child must sign this Managed Access Patient Agreement as part of the start criteria for treatment. National Institute for Health and Care Excellence                  Page 16 of 25"
"555";"HST2";"committee-papers-2.pdf";"portfoliodocument";"16";"managed access";"1";"Agreement as part of the start criteria for treatment. National Institute for Health and Care Excellence                  Page 16 of 25 Managed Access Agreement – Elosulfase alfa Issue date: November 2015"
"556";"HST2";"committee-papers-2.pdf";"portfoliodocument";"17";"managed access";"1";"                                                                          CONFIDENTIAL Please note. By signing this document you are agreeing to the MPS Society performing the Quality of Life study required as part of this Managed Access Patient Agreement in addition to all collected data from your monitoring visits to hospital to be entered into the MPS IVA registry (MARS registry). This is a"
"557";"HST2";"committee-papers-2.pdf";"portfoliodocument";"17";"managed access";"1";"to the age of the child as per Appendix C) National Institute for Health and Care Excellence                         Page 17 of 25 Managed Access Agreement – Elosulfase alfa Issue date: November 2015"
"558";"HST2";"committee-papers-2.pdf";"portfoliodocument";"18";"managed access";"1";"                                Start and Stop Criteria     Eligibility          1. To receive treatment, patients must sign up to the ‘Managed Access                Patient Agreement’ included in Appendix A to this Managed Access                Agreement."
"559";"HST2";"committee-papers-2.pdf";"portfoliodocument";"18";"managed access";"1";"    Eligibility          1. To receive treatment, patients must sign up to the ‘Managed Access                Patient Agreement’ included in Appendix A to this Managed Access                Agreement.          2. Patients are required to attend their clinics three times a year for"
"560";"HST2";"committee-papers-2.pdf";"portfoliodocument";"18";"managed access";"1";"                    for assessment. National Institute for Health and Care Excellence                     Page 18 of 25 Managed Access Agreement – Elosulfase alfa Issue date: November 2015"
"561";"HST2";"committee-papers-2.pdf";"portfoliodocument";"19";"managed access";"1";"                                                                      CONFIDENTIAL                <U+F0B7> All patients will sign up to the ‘Managed Access Patient                     Agreement’ as seen in the appendix to this Managed Access                     Agreement."
"562";"HST2";"committee-papers-2.pdf";"portfoliodocument";"19";"managed access";"1";"                                                                      CONFIDENTIAL                <U+F0B7> All patients will sign up to the ‘Managed Access Patient                     Agreement’ as seen in the appendix to this Managed Access                     Agreement.          Start Criteria"
"563";"HST2";"committee-papers-2.pdf";"portfoliodocument";"19";"managed access";"1";"               <U+F0B7> In addition patients aged 5 and over can only start once a full set                     of baseline assessments has been obtained, and they have                     signed the Managed Access Patient Agreement.          Stop Criteria          Patients will cease enzyme therapy if any of the following apply:"
"564";"HST2";"committee-papers-2.pdf";"portfoliodocument";"19";"managed access";"1";"                    assessed to allow gathering of important information. National Institute for Health and Care Excellence                    Page 19 of 25 Managed Access Agreement – Elosulfase alfa Issue date: November 2015"
"511";"HST2";"committee-papers-2.pdf";"portfoliodocument";"2";"managed access";"1";"1.1            The objectives of the document as a whole are to embody a set of                auditable measures that will be used to assess the compliance of                this “Managed Access Agreement” in England and to ensure that                all relevant stakeholders have a common understanding that such                measures have the agreement and backing of all involved and will"
"512";"HST2";"committee-papers-2.pdf";"portfoliodocument";"2";"managed access";"1";"https://www.nice.org.uk/guidance/indevelopment/gid- mucopolysaccharidosiselosulfasealfaid744/documents 1.2            This Managed Access Agreement has been drawn up by NHS                England, BioMarin Europe Limited (the “Market Authorisation                Holder” or “MAH”), and patient community experts and clinicians."
"513";"HST2";"committee-papers-2.pdf";"portfoliodocument";"2";"managed access";"1";"               England, BioMarin Europe Limited (the “Market Authorisation                Holder” or “MAH”), and patient community experts and clinicians. 1.3            For the avoidance of doubt, the parties intend this Managed Access                Agreement to be legally enforceable between them. 1.4            A Commercial in confidence ancillary agreement containing certain"
"514";"HST2";"committee-papers-2.pdf";"portfoliodocument";"2";"managed access";"1";"2              Background 2.1            The NICE evaluation has developed positive recommendations                conditional on a Managed Access Agreement being developed and                agreed by key stakeholders in the use of elosulfase alfa in the NHS                in England."
"515";"HST2";"committee-papers-2.pdf";"portfoliodocument";"2";"managed access";"1";"               in England. National Institute for Health and Care Excellence                  Page 2 of 25 Managed Access Agreement – Elosulfase alfa Issue date: November 2015"
"565";"HST2";"committee-papers-2.pdf";"portfoliodocument";"20";"managed access";"1";"                        other tests should be delayed if the patient is unwell (a National Institute for Health and Care Excellence                      Page 20 of 25 Managed Access Agreement – Elosulfase alfa Issue date: November 2015"
"566";"HST2";"committee-papers-2.pdf";"portfoliodocument";"21";"managed access";"1";"               have become a commissioning responsibility of NHS England; and                (iii) patients who started on treatment during the term of the                Managed Access Agreement and have been receiving treatment                for over 12 months. To remain on treatment patients must fulfil four                out of five of the response criteria:-"
"567";"HST2";"committee-papers-2.pdf";"portfoliodocument";"21";"managed access";"1";"               3. uKS levels remain reduced at least 20% from baseline value National Institute for Health and Care Excellence                     Page 21 of 25 Managed Access Agreement – Elosulfase alfa Issue date: November 2015"
"568";"HST2";"committee-papers-2.pdf";"portfoliodocument";"22";"managed access";"1";"         missing dosages. National Institute for Health and Care Excellence                    Page 22 of 25 Managed Access Agreement – Elosulfase alfa Issue date: November 2015"
"569";"HST2";"committee-papers-2.pdf";"portfoliodocument";"23";"managed access";"1";"     titres National Institute for Health and Care Excellence                       Page 23 of 25 Managed Access Agreement – Elosulfase alfa Issue date: November 2015"
"570";"HST2";"committee-papers-2.pdf";"portfoliodocument";"24";"managed access";"1";"                    Informed assent form wording according to patient age Name of Patient __________________________________________ I understand the conditions of the Managed Access Programme and the Managed Access Patient Agreement (including the circumstances in which NHS access to the treatment will cease)"
"571";"HST2";"committee-papers-2.pdf";"portfoliodocument";"24";"managed access";"1";"Name of Patient __________________________________________ I understand the conditions of the Managed Access Programme and the Managed Access Patient Agreement (including the circumstances in which NHS access to the treatment will cease) Signature of Patient (if over 18) ______________"
"572";"HST2";"committee-papers-2.pdf";"portfoliodocument";"24";"managed access";"1";"Date ______________ If patient is under 18 with informed assent I have explained the details of the Managed Access Programme and the Managed Access Patient Agreement (including the circumstances in which NHS access to the treatment will cease) to (insert name) ______________"
"573";"HST2";"committee-papers-2.pdf";"portfoliodocument";"24";"managed access";"1";"If patient is under 18 with informed assent I have explained the details of the Managed Access Programme and the Managed Access Patient Agreement (including the circumstances in which NHS access to the treatment will cease) to (insert name) ______________ who understands the conditions and likely benefits of the treatment"
"574";"HST2";"committee-papers-2.pdf";"portfoliodocument";"24";"managed access";"1";"Date ______________ I (insert name)______________ understand the treatment and the conditions of the Managed Access Programme and the Managed Access Patient Agreement (including the circumstances in which NHS access to the treatment will cease) which my parents / guardian have explained to me."
"575";"HST2";"committee-papers-2.pdf";"portfoliodocument";"24";"managed access";"1";"Date ______________ If patient is under 18 without informed assent I understand the conditions of the Managed Access Programme and the Managed Access Patient Agreement (including the circumstances in which NHS access to the treatment will cease) and the likely benefits of treatment"
"576";"HST2";"committee-papers-2.pdf";"portfoliodocument";"24";"managed access";"1";"If patient is under 18 without informed assent I understand the conditions of the Managed Access Programme and the Managed Access Patient Agreement (including the circumstances in which NHS access to the treatment will cease) and the likely benefits of treatment for my child."
"577";"HST2";"committee-papers-2.pdf";"portfoliodocument";"24";"managed access";"1";"Date: __________________________ National Institute for Health and Care Excellence             Page 24 of 25 Managed Access Agreement – Elosulfase alfa Issue date: November 2015"
"578";"HST2";"committee-papers-2.pdf";"portfoliodocument";"25";"managed access";"1";"                      Ancillary Agreement between BioMarin and NHS England National Institute for Health and Care Excellence             Page 25 of 25 Managed Access Agreement – Elosulfase alfa Issue date: November 2015"
"516";"HST2";"committee-papers-2.pdf";"portfoliodocument";"3";"managed access";"1";"                                                                      CONFIDENTIAL 3              Commencement and period of agreement 3.1            This Managed Access Agreement shall take effect on the date of                publication of the Guidance. Subject to clause 3.2, it will remain in                force until the earlier of: (i) publication of a NICE HST of elosulfase"
"517";"HST2";"committee-papers-2.pdf";"portfoliodocument";"3";"managed access";"1";"               force until the earlier of: (i) publication of a NICE HST of elosulfase                alfa or; (ii) a maximum of 5 years. For the avoidance of doubt, this                Managed Access Agreement shall expire automatically on the 5 th                anniversary of its term if it has not expired earlier as a result of the                publication of a NICE HST of elosulfase alfa. The MAH will provide"
"518";"HST2";"committee-papers-2.pdf";"portfoliodocument";"3";"managed access";"1";"               publication of a NICE HST of elosulfase alfa. The MAH will provide                the relevant data required for the review of the guidance on the                product performance during the fourth year of this Managed Access                Agreement. NICE will reissue guidance to the NHS in England                based on a review of the data during the fifth year of this Managed"
"519";"HST2";"committee-papers-2.pdf";"portfoliodocument";"3";"managed access";"1";"               Institute for Health and Care Excellence in December 2015 in                relation to the use of elosulfase alfa. 3.2            This Managed Access Agreement shall terminate automatically on                the termination or expiry of the commercial agreement relating to                the funding of elosulfase alfa and entered into between the"
"520";"HST2";"committee-papers-2.pdf";"portfoliodocument";"3";"managed access";"1";"               elosulfase alfa from the MAH. National Institute for Health and Care Excellence                    Page 3 of 25 Managed Access Agreement – Elosulfase alfa Issue date: November 2015"
"521";"HST2";"committee-papers-2.pdf";"portfoliodocument";"4";"managed access";"1";"               <U+F0B7> All patients are required to attend their clinics three times a year                     for assessment.                <U+F0B7> All patients will sign up to the ‘Managed Access Patient                     Agreement’ as seen in the appendix to this Managed Access                     Agreement."
"522";"HST2";"committee-papers-2.pdf";"portfoliodocument";"4";"managed access";"1";"                    for assessment.                <U+F0B7> All patients will sign up to the ‘Managed Access Patient                     Agreement’ as seen in the appendix to this Managed Access                     Agreement.          Start Criteria"
"523";"HST2";"committee-papers-2.pdf";"portfoliodocument";"4";"managed access";"1";"                    the diagnosis criteria recommended in Wood et al. (2012) National Institute for Health and Care Excellence                     Page 4 of 25 Managed Access Agreement – Elosulfase alfa Issue date: November 2015"
"524";"HST2";"committee-papers-2.pdf";"portfoliodocument";"5";"managed access";"1";"               <U+F0B7> In addition patients aged 5 and over can only start once a full set                     of baseline assessments has been obtained, and they have                     signed the Managed Access Patient Agreement.          Stop Criteria          Patients will cease enzyme therapy if any of the following apply:"
"525";"HST2";"committee-papers-2.pdf";"portfoliodocument";"5";"managed access";"1";"5              Data collection and monitoring 5.1            Data will be collected from all patients who start during the term of                this Managed Access Agreement. 5.2            The MAH has been asked by the European Medicines Agency to                enroll all patients into a 12 year disease registry to continue to"
"526";"HST2";"committee-papers-2.pdf";"portfoliodocument";"5";"managed access";"1";"               population as a whole, including the heterogeneity, progression and National Institute for Health and Care Excellence                    Page 5 of 25 Managed Access Agreement – Elosulfase alfa Issue date: November 2015"
"527";"HST2";"committee-papers-2.pdf";"portfoliodocument";"6";"managed access";"1";"               ensure that the requirements detailed in this clause 5.4 and in National Institute for Health and Care Excellence                       Page 6 of 25 Managed Access Agreement – Elosulfase alfa Issue date: November 2015"
"528";"HST2";"committee-papers-2.pdf";"portfoliodocument";"7";"managed access";"1";"                        FEV-1 will be sufficient as both measure different aspects of National Institute for Health and Care Excellence                      Page 7 of 25 Managed Access Agreement – Elosulfase alfa Issue date: November 2015"
"529";"HST2";"committee-papers-2.pdf";"portfoliodocument";"8";"managed access";"1";"               have become a commissioning responsibility of NHS England; and                (iii) patients who started on treatment during the term of the                Managed Access Agreement and have been receiving treatment                for over 12 months. To remain on treatment patients must fulfil four                out of five of the response criteria:-"
"530";"HST2";"committee-papers-2.pdf";"portfoliodocument";"8";"managed access";"1";"               out of five of the response criteria:- National Institute for Health and Care Excellence                     Page 8 of 25 Managed Access Agreement – Elosulfase alfa Issue date: November 2015"
"531";"HST2";"committee-papers-2.pdf";"portfoliodocument";"9";"managed access";"1";"               missing dosages. National Institute for Health and Care Excellence                    Page 9 of 25 Managed Access Agreement – Elosulfase alfa Issue date: November 2015"
"580";"HST2";"committee-papers.pdf";"https://www.nice.org.uk/guidance/HST2/documents/committee-papers#page=1";"1";"managed access";"0";"4.     Manufacturer Submission - Patient Access Scheme and Evidence        Review Group Addendum        A draft managed access agreement was made available to the Committee for        consideration at the third Evaluation Committee meeting. Because this has        been superseded by the final managed access agreement that accompanies"
